1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  For what purposes do you use the Internet? Tick all that apply,"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]","10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","Other, please specify.1","11) Have you been a victim of cyber crime? (E.g. lost data or email account, device infected with virus or spyware, stole your picture/s or digital device/s).","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Male,18-29,"Undergraduate (Diploma, BSc)",Islamic studies,Madina,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi CERT, Police",
Male,18-29,"Undergraduate (Diploma, BSc)",Languages,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone, Tablet","Education, Social networks, Online services, Communication",Do not know,Do not know,Do not know,Do not know,Do not know,,,No,,,Saudi eGovernment Portal,
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,Yes,,I did not know what the crime was,,I am not sure what the impact on me will be
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Sometimes,Sometimes,Always,Sometimes,,,Yes,,I did not know what the impact on me will be,,I am not sure what the impact on me will be
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,,I am not sure what the impact on me will be
Male,30-39,"Undergraduate (Diploma, BSc)",,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Saudi eGovernment Portal,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Madina,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Somtimes,Never,Never,Never,Never,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Male,40-49,High School,,Tabuk,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Professional reasons, Education",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Male,50+,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone, Tablet","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,Yes,Police,,,I do not know who to write report about cyber crime
Male,18-29,High School,Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Somtimes,Always,Always,Sometimes,Always,,,No,,,Saudi eGovernment Portal,
Male,30-39,High School,,Jazan,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Never,Always,Never,Always,Never,,,No,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Baha,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,Yes,,"I did not know who to write report about cyber crime, I did not know how to describe or write reports about cyber crime , I think that there is no value of reporting",,I will fix the problem by myself
Male,40-49,"Undergraduate (Diploma, BSc)",Chemsitry,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Laptop,"Social networks, Online services, Entertainment",Always,Always,Always,Always,Sometimes,,,No,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Social networks, Online services, Entertainment, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Never,Sometimes,Always,Never,Sometimes,,,No,,,"Saudi CERT, Police",
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",Smartphone,Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Saudi eGovernment Portal,
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks",Always,Always,Sometimes,Always,Always,,,No,,,Saudi CERT,
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Riyadh,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Communication",Always,Do not know,Always,Always,Always,,,No,,,Police,
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Communication",Do not know,Do not know,Do not know,Sometimes,Do not know,,,No,,,,Not sure
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Education, Social networks, Online services",Always,Always,Always,Always,Always,,,No,,,Saudi eGovernment Portal,
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Tablet","Education, Social networks",Always,Always,Always,Sometimes,Always,,,No,,,Police,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Law,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Entertainment, Communication",Never,Always,Always,Always,Always,,,Yes,,"I did not know what the crime was , I did not know who to write report about cyber crime",,I will fix the problem by myself
Male,50+,"Postgraduate (Masters, PhD)",Environmental Sciences,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,30-39,,Languages,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone","Education, Social networks, Online services",Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Female,50+,"Undergraduate (Diploma, BSc)",Education,Madina,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Saudi eGovernment Portal,
Male,18-29,"Postgraduate (Masters, PhD)",Environmental Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Social networks, Entertainment, Communication",Always,Always,Sometimes,Sometimes,Always,,,No,,,Dont know but will ask friends for advice,
Female,50+,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Online services,Always,Always,Always,Sometimes,Sometimes,,,Yes,,Not sure,,I am not sure what the impact on me will be
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Always,Do not know,Never,Always,Do not know,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Never,Never,Never,Never,,,No,,,Saudi CERT,
Female,18-29,High School,Physics,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Social networks, Entertainment, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Female,50+,"Undergraduate (Diploma, BSc)",Social Science,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Tablet,Social networks,Always,Sometimes,Sometimes,Sometimes,Always,,,No,,,,I am not sure what the impact on me will be
Female,30-39,"Postgraduate (Masters, PhD)",Social Science,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone",Social networks,Always,Always,Always,Always,Always,,,Yes,,I fixed the problem by myself,,Not sure
Male,18-29,High School,Engineering,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Always,Sometimes,Always,Always,Always,,,No,,,Saudi CERT,
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Riyadh,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",Smartphone,Social networks,Somtimes,Sometimes,Always,Sometimes,Always,,,No,,,Saudi eGovernment Portal,
Male,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Online services, Entertainment, Communication",Never,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Female,18-29,High School,Physics,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Social networks, Entertainment, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",,Makkah,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Communication,Somtimes,Never,Never,Never,Never,,,No,,,Police,
Male,18-29,High School,Engineering,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Always,Sometimes,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Dont know but will ask friends for advice",
Male,18-29,"Undergraduate (Diploma, BSc)",Information Technology,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Social networks, Online services, Communication",Somtimes,Always,Always,Always,Always,,,No,,,Police,
Male,50+,"Undergraduate (Diploma, BSc)",Chemsitry,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Always,Sometimes,Always,Always,Sometimes,,,No,,,Dont know but will ask friends for advice,
Male,18-29,High School,Medicine or public health,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Tablet,Professional reasons,Always,Always,Always,Always,Always,,Neutral,Yes,Saudi eGovernment Portal,,,I do not know who to write report about cyber crime
Male,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Laptop, Smartphone, Tablet","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Do not know,Never,Do not know,Never,Do not know,,,No,,,Other- Call 911,
Male,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Sometimes,Never,Always,Always,,,No,,,"Saudi eGovernment Portal , Dont know but will ask friends for advice",
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Asir,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Education, Social networks, Online services",Always,Sometimes,Sometimes,Always,Always,,,No,,,,I do not know how to describe or write reports about cyber crime
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Dont know but will ask friends for advice",
Male,18-29,"Undergraduate (Diploma, BSc)",Automotaive Mechanics,Asir,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Entertainment",Do not know,Always,Do not know,Do not know,Do not know,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Never,Always,Always,Never,Never,,,Yes,,I did not know how to describe or write reports about cyber crime,,I do not know how to describe or write reports about cyber crime
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Never,Always,Always,Always,Always,,,No,,,Saudi CERT,
Male,18-29,"Undergraduate (Diploma, BSc)",Education,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Education, Social networks, Online services, Entertainment, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,,I do not know who to write report about cyber crime
Female,18-29,High School,Medicine or public health,Tabuk,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Male,30-39,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,Yes,Committee for the Promotion of Virtue and the Prevention of Vice,,,I do not know who to write report about cyber crime
Male,50+,High School,Engineering,Aljawf,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Social networks, Online services",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,"Saudi eGovernment Portal , Dont know but will ask friends for advice",
Female,30-39,"Postgraduate (Masters, PhD)",Statics,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Education, Social networks, Online services, Entertainment, Communication",Never,Never,Never,Never,Never,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Economic,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Entertainment, Communication",Never,Never,Never,Never,Never,,,Yes,,I fixed the problem by myself,,I do not know how to describe or write reports about cyber crime
Male,40-49,"Undergraduate (Diploma, BSc)",Education,Madina,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,Qassim,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Social networks, Online services, Communication",Always,Always,Never,Never,Sometimes,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Riyadh,Once or twice a day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Always,Always,Always,Always,Always,Strict law,Neutral,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Entertainment, Communication",Always,Never,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,40-49,"Undergraduate (Diploma, BSc)",Computer Science,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Professional reasons, Education, Social networks, Online services",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Social Science,Qassim,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,I fixed the problem by myself,,Not sure
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Communication",Always,Always,Sometimes,Sometimes,Do not know,,,No,,,Dont know but will ask friends for advice,
Female,30-39,"Postgraduate (Masters, PhD)",Chemsitry,Makkah,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services",Always,Always,Always,Sometimes,Always,,,No,,,Dont know but will ask friends for advice,
Female,18-29,High School,Social Science,Baha,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Never,Always,Always,Always,Always,,,Yes,Saudi eGovernment Portal,,,Not sure
Female,,High School,Languages,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,No,,,Police,
Female,30-39,"Undergraduate (Diploma, BSc)",Education,Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Communication,Always,Always,Always,Always,Always,,,Yes,Saudi eGovernment Portal,,,Not sure
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Eastern Province,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Never,Never,Never,,,No,,,"Saudi CERT, Police",
Female,18-29,"Undergraduate (Diploma, BSc)",Education,Qassim,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Education, Social networks, Entertainment",Always,Always,Always,Sometimes,Do not know,,,No,,,Saudi CERT,
Male,30-39,"Undergraduate (Diploma, BSc)",Languages,Asir,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services, Communication",Somtimes,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Police,
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)",Smartphone,Social networks,Always,Sometimes,Always,Always,Always,,,No,,,,I do not know who to write report about cyber crime
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,Makkah,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone, Tablet","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Never,Always,,,Yes,,I did not know how to describe or write reports about cyber crime,,I do not know what the crime means
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Once or twice a day,,Smartphone,Online services,Always,Sometimes,Always,Never,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,Makkah,Once or twice a day,,Smartphone,Online services,Always,Sometimes,Always,Never,Always,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Female,40-49,High School,,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Social networks",Always,Always,Never,Always,Always,,,No,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",Islamic studies.,Riyadh,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Social networks, Online services, Communication",Never,Never,Never,Never,Never,Not clear,,No,,,Committee for the Promotion of Virtue and the Prevention of Vice,
Male,18-29,"Undergraduate (Diploma, BSc)",Islamic studies,Asir,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Tablet","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Sometimes,Sometimes,,,Yes,,I think that there is no value of reporting,,Not sure
Male,40-49,High School,,Asir,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,I did not know what the crime was,,I think that there will no value of reporting
Female,30-39,"Undergraduate (Diploma, BSc)",Social Science,Makkah,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Education,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Saudi CERT,
Male,50+,High School,,Asir,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
