1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  For what purposes do you use the Internet? Tick all that apply,"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]","10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","Other, please specify.1","11) Have you been a victim of cyber crime? (E.g. lost data or email account, device infected with virus or spyware, stole your picture/s or digital device/s).","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Male,50+,"Postgraduate (Masters, PhD)",Engineering,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","   Desktop, Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,No,,,"Police, Dont know but will ask friends for advice",
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services",Always,Always,Always,Always,Always,,,No,,,"Saudi eGovernment Portal , Committee for the Promotion of Virtue and the Prevention of Vice, Dont know but will ask friends for advice",
Male,30-39,"Postgraduate (Masters, PhD)",Business Administration,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,"I did not trust the third party, I fixed the problem by myself",,I do not know who to write report about cyber crime
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Education, Social networks, Online services",Always,Always,Always,Always,Always,,,Yes,,I fixed the problem by myself,,I think that there will no value of reporting
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science',,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","Laptop, Smartphone, Tablet","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,I fixed the problem by myself,,I do not know what the crime means
Female,18-29,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Education, Social networks",Do not know,Always,Always,Never,Never,,,No,,,Dont know but will ask friends for advice,
Male,30-39,"Postgraduate (Masters, PhD)",Computer Science,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,I did not know how to describe or write reports about cyber crime,,I do not know who to write report about cyber crime
Male,30-39,High School,,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,"Police, Dont know but will ask friends for advice",
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Desktop,Education,Never,Always,Always,Always,Always,,,Yes,,"I did not know who to write report about cyber crime, I did not trust the third party",,I do not know what the crime means
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Social networks, Communication",Somtimes,Sometimes,Sometimes,Always,Always,,,No,,,Police,
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Smartphone, Tablet","Social networks, Online services, Communication",Do not know,Do not know,Do not know,Do not know,Do not know,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Female,50+,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","Smartphone, Tablet","Education, Social networks, Online services, Communication",Always,Always,Always,Sometimes,Always,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Arts,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Education,Always,Always,Always,Always,Always,,Neutral,Yes,,"I did not know who to write report about cyber crime, I did not know what the impact on me will be, I did not know how to describe or write reports about cyber crime , I think that there is no value of reporting, I fixed the problem by myself",,I do not know how to describe or write reports about cyber crime
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,No,,,,I feel it will be waste of time
Female,18-29,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Professional reasons, Education, Social networks, Online services, Communication",Never,Sometimes,Always,Sometimes,Sometimes,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,40-49,"Undergraduate (Diploma, BSc)",Social Science,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,"Education, Social networks, Online services, Entertainment, Communication",Always,Always,Always,Always,Always,,,Yes,,I did not know how to describe or write reports about cyber crime,,Not sure
Female,18-29,"Undergraduate (Diploma, BSc)",Business Administration,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Education, Social networks, Online services",Always,Always,Never,Never,Do not know,,,No,,,"Saudi CERT, Police, Dont know but will ask friends for advice",
Female,40-49,"Undergraduate (Diploma, BSc)",Education,,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Smartphone, Tablet","Education, Entertainment, Communication",Never,Never,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Male,40-49,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Education, Social networks, Online services",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Male,18-29,"Undergraduate (Diploma, BSc)",Library Managment,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Desktop,Social networks,Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone",Communication,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,,Frequently throughout the day,"Expert (e.g. computer engineering, database administration, network engineering)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Do not know,Sometimes,Never,Never,Never,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Male,50+,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)","     Laptop, Smartphone","Professional reasons, Communication",Always,Always,Always,Always,Always,,,No,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)",,,Frequently throughout the day,"Beginner/Basic (e.g. start computer and phone, go to specified web page. Use Word. Use social media)",Smartphone,Social networks,Always,Always,Always,Always,Always,,,No,,,Saudi CERT,
Female,30-39,"Undergraduate (Diploma, BSc)",Chemsitry,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Entertainment,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine-or-public-health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone, Tablet","Professional reasons, Education, Social networks, Online services, Communication",Never,Do not know,Do not know,Do not know,Do not know,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police",
Male,30-39,"Undergraduate (Diploma, BSc)",Business Administration,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Education, Social networks, Entertainment, Communication",Do not know,Do not know,Do not know,Always,Do not know,,,No,,,"Saudi eGovernment Portal , Saudi CERT, Police, Committee for the Promotion of Virtue and the Prevention of Vice",
Female,40-49,"Undergraduate (Diploma, BSc)",Education(),,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Education,Always,Always,Always,Always,Never,,,Yes,,"I did not know what the crime was , I did not know who to write report about cyber crime, I did not know what the impact on me will be, I did not know how to describe or write reports about cyber crime , I feel it is waste of time, I think that there is no value of reporting, I did not trust the third party, I fixed the problem by myself, Not sure",,I do not know who to write report about cyber crime
Male,30-39,"Undergraduate (Diploma, BSc)",Engineering.,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone, Tablet","Social networks, Online services, Communication",Somtimes,Sometimes,Always,Always,Sometimes,,,No,,,Dont know but will ask friends for advice,
Female,40-49,"Undergraduate (Diploma, BSc)","Education""",Makkah,Once or twice a day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,Education,Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Dont know but will ask friends for advice,
